NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,439.2826156616211
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,472.25220489501953
b38a03232f43b11c9d0788abaf060f7366053b6d,532.5301818847656
70b682d9a3636be23f6120fa9d6b164eb3c6002d,1.7256393432617188
715494628a50142ce8cb17191cfe6d0f3cae0934,534.0718460083008
e656d6bad65c93fb2880f1eba5037008c8e75774,462.75476837158203
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,556.6945190429688
11539e86171bf07d3a36f09377d7f54ebcc8406a,426.46236419677734
043c544a2104aa8a9849f1a703a08d37a2f16839,483.78831481933594
76ba050e64ad100b856f0eaabd8f539d5c7dd185,464.68505096435547
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,-4.103240966796875
db4da599aab5bb08dce27094a35fd3e36cd0abce,-10.712272644042969
940aede382ccb332fab15d413217695ec44ca765,477.7544403076172
9ad714b116da76d878dd399d187fccc2dd13dd63,517.637336730957
dd34464a4d780b12a089347ad580418ac57a3055,529.1958923339844
f837a4cb05a5fd59d20138182f5e8c721eadd584,505.9915542602539
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,0.3292083740234375
ca8477c8493b09f34d17bb287f9bacf2dd744c32,-4.5576324462890625
8b0c675d7fde14953668269d378c588f0df0498b,-6.828971862792969
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,408.63502502441406
3d203727f27abd83b71732d88d8cb1cc099f363b,445.5111389160156
d30d31c8ff45094e9a992c63d4a6f68b245a341a,86.80728912353516
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,-11.021270751953125
cbc301183dec912f3513ca766bf03dd565f3a38f,495.2577209472656
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,614.8339385986328
11282da1ee78c8db45a041db4c744e33df489df0,478.64117431640625
03c67f683a415c2ea09b582248bd4cb08528c19d,609.0403518676758
046e844fb06a07ba30b41521f0065a8d9c6e5024,414.7712173461914
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,492.2719955444336
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,-0.00707244873046875
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,-18.58477020263672
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,428.75244140625
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,539.5454025268555
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,480.15665435791016
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,505.00931549072266
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,471.154296875
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,514.7186584472656
59bfa081e020013410d9f60f91813964ba749bb2,439.65775299072266
f5e069ee3bc95998464e8ff5da048b7f999921ed,401.1763916015625
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,547.1217346191406
664f44258212a1f7e4086f2b4845d586c543fa3f,480.28861236572266
